month,edits,editors
2012-06-01T00:00:00.000Z,4393530,459166
2012-07-01T00:00:00.000Z,4652613,459553
2012-08-01T00:00:00.000Z,4651845,460011
2012-09-01T00:00:00.000Z,4843386,452811
2012-10-01T00:00:00.000Z,4980499,501879
2012-11-01T00:00:00.000Z,4607502,489596
2012-12-01T00:00:00.000Z,4544587,467075
2013-01-01T00:00:00.000Z,4877507,503848
2013-02-01T00:00:00.000Z,5062668,466284
2013-03-01T00:00:00.000Z,6261482,483349
2013-04-01T00:00:00.000Z,4541474,469668
2013-05-01T00:00:00.000Z,4393869,499472
2013-06-01T00:00:00.000Z,4208463,447664
2013-07-01T00:00:00.000Z,3995223,425831
2013-08-01T00:00:00.000Z,4037757,402849
2013-09-01T00:00:00.000Z,3876414,404460
2013-10-01T00:00:00.000Z,4108678,460348
2013-11-01T00:00:00.000Z,3957036,443498
2013-12-01T00:00:00.000Z,4270787,426944
2014-01-01T00:00:00.000Z,4412681,458111
2014-02-01T00:00:00.000Z,3908360,419990
2014-03-01T00:00:00.000Z,4240054,448080
2014-04-01T00:00:00.000Z,4042617,421737
2014-05-01T00:00:00.000Z,4103579,418834
2014-06-01T00:00:00.000Z,3780680,374554
2014-07-01T00:00:00.000Z,3962248,368737
2014-08-01T00:00:00.000Z,3966192,381637
2014-09-01T00:00:00.000Z,3810187,379932
2014-10-01T00:00:00.000Z,3890368,406571
2014-11-01T00:00:00.000Z,3834638,392471
2014-12-01T00:00:00.000Z,4042966,373579
2015-01-01T00:00:00.000Z,4307132,400370
2015-02-01T00:00:00.000Z,3939039,380094
2015-03-01T00:00:00.000Z,4804505,408450
2015-04-01T00:00:00.000Z,5420740,419903
2015-05-01T00:00:00.000Z,4486420,429880
2015-06-01T00:00:00.000Z,4182075,407556
2015-07-01T00:00:00.000Z,4287737,412035
2015-08-01T00:00:00.000Z,4531190,414411
2015-09-01T00:00:00.000Z,4398118,427677
2015-10-01T00:00:00.000Z,4573756,446228
2015-11-01T00:00:00.000Z,4456188,429746
2015-12-01T00:00:00.000Z,4199796,410989
2016-01-01T00:00:00.000Z,4714340,458304
2016-02-01T00:00:00.000Z,4681979,442711
2016-03-01T00:00:00.000Z,4983730,444783
2016-04-01T00:00:00.000Z,4757144,430340
2016-05-01T00:00:00.000Z,4768475,435399
2016-06-01T00:00:00.000Z,4369052,396159
2016-07-01T00:00:00.000Z,4410842,391270
2016-08-01T00:00:00.000Z,4426188,414133
2016-09-01T00:00:00.000Z,4581636,416848
2016-10-01T00:00:00.000Z,4902094,435739
2016-11-01T00:00:00.000Z,4916504,433038
2016-12-01T00:00:00.000Z,4972012,422147
2017-01-01T00:00:00.000Z,5019316,456975
2017-02-01T00:00:00.000Z,4632063,423877
2017-03-01T00:00:00.000Z,4948622,461515
2017-04-01T00:00:00.000Z,4589369,424964
2017-05-01T00:00:00.000Z,4882666,431329
2017-06-01T00:00:00.000Z,4867458,391041
2017-07-01T00:00:00.000Z,4659289,397800
2017-08-01T00:00:00.000Z,4686591,399409
2017-09-01T00:00:00.000Z,4666223,398494
2017-10-01T00:00:00.000Z,4696462,436203
2017-11-01T00:00:00.000Z,4622820,434451
2017-12-01T00:00:00.000Z,4797589,409054
